id,rubro,importeCentavos,bonificacionCentavos,estado,diasCobertura
P110,Alimentos,mil,10000,ANULADO,
P111,Combustible,575100,75000,ANULADO,90
P112,Servicios,145000,25000,ANULADO,0
P113,Alimentos,0,0,ANULADO,15
P114,Combustible,mil,10000,ANULADO,
P115,Servicios,575100,75000,ANULADO,90
P116,Alimentos,145000,25000,ANULADO,0
P117,Alimentos,575100,75000,APROBADO,90
P118,Combustible,50100,50000,APROBADO,
P119,Servicios,110000,10000,APROBADO,URGENTE
P120,Alimentos,110000,10000,APROBADO,15
P121,Combustible,3100100,100000,APROBADO,0
P122,Servicios,5000100,2000100,APROBADO,0
P123,Alimentos,0,0,APROBADO,0
P124,Combustible,50000,50000,APROBADO,90
P125,Servicios,50000,50100,APROBADO,0
P126,Alimentos,120000,-1,APROBADO,0
P127,Combustible,mil,10000,APROBADO,0
P128,Servicios,120000,cien,APROBADO,90
P129,,120000,20000,APROBADO,0
P130,Alimentos,120000,20000,PENDIENTE,0
P131,Combustible,120000,20000,APROBADO
P132,Servicios,120000,20000,APROBADO,0,extra
P133,Alimentos,0,0,ANULADO
P134,Combustible,0,0,ANULADO,15,extra
P135,Servicios,3000100,0,APROBADO,90
P136,Alimentos,100000,0,APROBADO,60
P137,Combustible,650000,149900,APROBADO,180
P138,Servicios,45000,45000,APROBADO,0
P139,Alimentos,5000100,4500100,APROBADO,30
P140,Combustible,120000,20000,EN_CAMINO,90
